object_id,name,county,Longitude,Latitude,pred_absolute,pred_percent,pred_party,subnational1,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2012_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,total_loss
28,Alba Iulia,Alba,23.5563126,46.0653954,13886,40.48,g5,Alba,10,624319,294869,285800,4247,787,122,901,338,448,327,1536,354,583,723,654,2137,529,799,350,763,496,420,375,12642
81,Arad,Arad,21.2799129,46.174942,22112,30.24,g5,Arad,10,774533,285200,273032,4192,1473,136,246,337,346,361,444,359,373,349,269,644,465,559,269,867,619,1220,181,9517
2089,Pitești,Argeș,24.8609619,44.8559494,20185,27.75,g2,Argeș,10,682479,364276,342139,4176,733,420,247,1662,1948,754,1332,974,1066,725,1715,1237,810,919,355,855,521,413,361,17047
125,Bacău,Bacău,26.9097633,46.5665932,21933,30.49,g2,Bacău,10,661934,318278,302959,4803,212,1439,306,1720,1202,748,812,1322,754,630,1191,845,365,506,352,831,710,701,545,15191
1955,Oradea,Bihor,21.9210644,47.0665855,32948,34.95,g5,Bihor,10,754816,262298,249924,3124,1198,108,282,474,312,312,1013,594,345,461,314,534,355,750,302,899,685,1928,412,11278
307,Bistrița,Bistrița-Năsăud,24.500267,47.143734,13468,33.74,g5,Bistrița-Năsăud,10,535374,262255,259065,7494,308,309,397,556,567,352,2789,484,233,554,412,1488,397,544,427,892,575,468,388,12140
384,Botoșani,Botoșani,26.6785183,47.744545,10913,25.59,g1,Botoșani,10,498503,63462,59328,382,185,79,27,88,23,13,26,44,25,37,42,43,80,270,93,158,171,124,116,1644
415,Brașov,Brașov,25.5866737,45.6277428,51973,37.66,g2,Brașov,10,536391,252874,246147,2622,338,357,156,644,428,417,466,791,499,355,565,558,436,609,456,702,444,339,382,8942
404,Brăila,Brăila,27.9558945,45.27771,19436,24.69,g3,Brăila,10,476621,23820,28933,445,19,32,20,26,21,10,51,16,38,69,28,66,34,71,117,128,186,83,134,1149
469,Bucharest,Bucharest,26.0617008,44.491642,52540,41.9,g2,Bucharest,10,24133,1330,1085,11,0,0,0,2,1,1,1,3,1,1,0,0,0,0,3,1,0,0,0,14
517,Buzău,Buzău,26.8171177,45.1386108,12262,24.09,g2,Buzău,10,610171,188847,184002,1691,103,297,79,430,202,199,144,257,171,211,136,212,224,334,146,188,283,190,192,3998
2278,Caraș-Severin,Caraș-Severin,21.8803978,45.3177414,8576,31.44,g5,Caraș-Severin,10,851832,554913,533153,2598,1388,92,199,402,377,384,382,651,424,454,249,637,548,933,301,1006,395,574,443,9839
740,Cluj-Napoca,Cluj,23.6119118,46.7818069,79372,42.27,g2,Cluj,10,667279,246160,226257,5790,844,238,1929,898,807,400,5351,500,716,963,488,2665,340,430,214,701,536,738,289,19047
775,Constanța,Constanța,28.6026192,44.1805077,48947,33.75,g2,Constanța,10,705412,33268,39636,658,25,40,27,28,15,12,24,25,24,37,35,73,26,39,76,95,90,65,88,844
850,Covasna,Covasna,26.3188267,45.7880707,2363,49.89,g4,Covasna,10,370863,189322,192969,7779,138,506,129,598,521,447,317,511,310,308,484,485,387,576,351,616,591,466,496,8237
533,Călărași,Călărași,27.3328705,44.2036057,7203,27.84,g5,Călărași,10,508557,23104,23251,414,17,53,11,26,34,14,60,76,49,83,51,85,93,150,188,263,245,240,192,1930
861,Craiova,Dolj,23.7895412,44.3251228,34943,29.18,g2,Dolj,10,740829,77638,68216,4330,216,485,111,228,222,85,175,116,321,86,231,167,272,270,130,157,140,181,162,3755
2819,Târgoviște,Dâmbovița,25.4393826,44.9201241,9191,25.56,g2,Dâmbovița,10,405409,158366,150925,1047,319,319,251,423,152,110,326,101,93,84,119,85,120,251,64,93,128,120,132,3290
1190,Galați,Galați,28.0799618,45.4884186,32847,28.45,g2,Galați,10,446592,31291,31085,255,21,34,4,28,17,19,20,33,32,70,24,209,28,39,35,82,105,124,62,986
1274,Giurgiu,Giurgiu,25.9626122,43.8988991,7124,32.14,g1,Giurgiu,10,354442,40589,37502,384,32,56,22,50,8,22,33,31,29,41,11,39,36,65,74,102,84,77,67,879
2824,Târgu Jiu,Gorj,23.2930546,45.0452805,8665,24.76,g1,Gorj,10,558369,328574,299899,2621,486,226,94,257,306,402,279,360,284,255,180,494,442,869,207,320,213,340,282,6296
